fonction               adresse        x87  fld  fst  mul  DIV  add  sub  cmp  ild
FUN_1008_236d          1008:236d        1    0    1    0    0    0    0    0    0
FUN_1008_2516          1008:2516        1    0    1    0    0    0    0    0    0
FUN_1018_216e          1018:216e        1    0    1    0    0    0    0    0    0
FUN_1020_709f          1020:709f        1    0    1    0    0    0    0    0    0
FUN_1070_208a          1070:208a        1    0    1    0    0    0    0    0    0
FUN_1078_454f          1078:454f        1    0    1    0    0    0    0    0    0
FUN_1080_34b0          1080:34b0        1    0    1    0    0    0    0    0    0
FUN_10a0_3083          10a0:3083        1    1    0    0    0    0    0    0    0
FUN_10e0_43b2          10e0:43b2        1    0    1    0    0    0    0    0    0
FUN_10e0_4840          10e0:4840        1    1    0    0    0    0    0    0    0
FUN_10e0_63ff          10e0:63ff        1    1    0    0    0    0    0    0    0
FUN_1148_355a          1148:355a        1    1    0    0    0    0    0    0    0
FUN_1148_3a68          1148:3a68        1    0    1    0    0    0    0    0    0
FUN_1150_11e3          1150:11e3        1    1    0    0    0    0    0    0    0
FUN_1150_13d6          1150:13d6        1    1    0    0    0    0    0    0    0
FUN_1150_2154          1150:2154        1    1    0    0    0    0    0    0    0
FUN_1150_21b2          1150:21b2        1    1    0    0    0    0    0    0    0
FUN_1150_393d          1150:393d        1    0    1    0    0    0    0    0    0
FUN_1158_08fe          1158:08fe        1    0    1    0    0    0    0    0    0

fonctions utilisant le x87 : 107
